ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-09-08,88.07959221159287,74.99970980608072,103.34801198543344,88.07959221159287,88.07959221159287,1.143331148056395,1.143331148056395,1.143331148056395,-0.0880687612207987,-0.0880687612207987,-0.0880687612207987,1.2313999092771934,1.2313999092771934,1.2313999092771934,0.0,0.0,0.0,89.22292335964926
2010-09-09,88.13997681176048,75.19634967571957,103.72630772670814,88.13997681176048,88.13997681176048,1.1889212403540157,1.1889212403540157,1.1889212403540157,0.006157461250279865,0.006157461250279865,0.006157461250279865,1.1827637791037358,1.1827637791037358,1.1827637791037358,0.0,0.0,0.0,89.3288980521145
2010-09-10,88.20036141192821,74.95099786134492,103.55909971775016,88.20036141192821,88.20036141192821,1.1428037862942715,1.1428037862942715,1.1428037862942715,0.010792181852348785,0.010792181852348785,0.010792181852348785,1.1320116044419226,1.1320116044419226,1.1320116044419226,0.0,0.0,0.0,89.34316519822248
2010-09-11,88.26074601209584,74.87417876783988,103.26341475735907,88.26074601209584,88.26074601209584,1.39844915449101,1.39844915449101,1.39844915449101,0.31846702292726115,0.31846702292726115,0.31846702292726115,1.079982131563749,1.079982131563749,1.079982131563749,0.0,0.0,0.0,89.65919516658684
2010-09-12,88.32113061226352,74.83414403710194,102.26976137431664,88.32113061226352,88.32113061226352,0.7980516239524419,0.7980516239524419,0.7980516239524419,-0.2295033420546524,-0.2295033420546524,-0.2295033420546524,1.0275549660070942,1.0275549660070942,1.0275549660070942,0.0,0.0,0.0,89.11918223621596
2010-09-13,88.38151521243125,76.56849737212602,102.8933018969314,88.38151521243125,88.38151521243125,1.0091338555515466,1.0091338555515466,1.0091338555515466,0.03350519748115035,0.03350519748115035,0.03350519748115035,0.9756286580703962,0.9756286580703962,0.9756286580703962,0.0,0.0,0.0,89.3906490679828
2010-09-14,88.44189981259886,75.13131565066524,103.22384128630188,88.44189981259886,88.44189981259886,0.8737483551247167,0.8737483551247167,0.8737483551247167,-0.051349760236416096,-0.051349760236416096,-0.051349760236416096,0.9250981153611327,0.9250981153611327,0.9250981153611327,0.0,0.0,0.0,89.31564816772358
2010-09-15,88.50228441276654,75.46245243713858,102.12217225725645,88.50228441276654,88.50228441276654,0.7887631589729813,0.7887631589729813,0.7887631589729813,-0.08806876121996002,-0.08806876121996002,-0.08806876121996002,0.8768319201929414,0.8768319201929414,0.8768319201929414,0.0,0.0,0.0,89.29104757173953
2010-09-16,88.56266901293422,75.74273921134626,103.46452046173934,88.56266901293422,88.56266901293422,0.8378075958188812,0.8378075958188812,0.8378075958188812,0.006157461250632289,0.006157461250632289,0.006157461250632289,0.8316501345682489,0.8316501345682489,0.8316501345682489,0.0,0.0,0.0,89.40047660875311
2010-09-17,88.6230536131019,75.46883286135063,103.06004104577406,88.6230536131019,88.6230536131019,0.8010953467406895,0.8010953467406895,0.8010953467406895,0.010792181852631085,0.010792181852631085,0.010792181852631085,0.7903031648880584,0.7903031648880584,0.7903031648880584,0.0,0.0,0.0,89.4241489598426
